frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769541592.298363300","1018","192.168.0.43","255.255.255.255","65156","31338",,
"1769541592.298432000","1018","192.168.0.43","255.255.255.255","65156","31339",,
"1769541592.363064200","593","192.168.0.43","255.255.255.255","53500","31337",,
"1769541592.363220800","593","192.168.0.43","255.255.255.255","53500","31338",,
"1769541592.363362900","593","192.168.0.43","255.255.255.255","53500","31339",,
"1769541592.500957600","809","192.168.0.43","255.255.255.255","65156","31337",,
"1769541592.501040100","809","192.168.0.43","255.255.255.255","65156","31338",,
"1769541592.501073000","809","192.168.0.43","255.255.255.255","65156","31339",,
"1769541592.564821000","1014","192.168.0.43","255.255.255.255","53500","31337",,
"1769541592.564935200","1014","192.168.0.43","255.255.255.255","53500","31338",,
"1769541592.564991400","1014","192.168.0.43","255.255.255.255","53500","31339",,
"1769541592.685624400","116","168.119.77.25","192.168.0.43",,,"443","53070"
"1769541592.685624400","200","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.685657400","66","192.168.0.43","168.119.77.25",,,"53070","443"
"1769541592.685691400","66","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.715334400","809","192.168.0.43","255.255.255.255","65156","31337",,
"1769541592.715434200","809","192.168.0.43","255.255.255.255","65156","31338",,
"1769541592.715482300","809","192.168.0.43","255.255.255.255","65156","31339",,
"1769541592.732557000","1490","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.765848600","1514","192.168.0.43","255.255.255.255",,,,
"1769541592.765848600","160","192.168.0.43","255.255.255.255","53500","31337",,
"1769541592.765929500","1514","192.168.0.43","255.255.255.255",,,,
"1769541592.765929500","160","192.168.0.43","255.255.255.255","53500","31338",,
"1769541592.765970400","1514","192.168.0.43","255.255.255.255",,,,
"1769541592.765970400","160","192.168.0.43","255.255.255.255","53500","31339",,
"1769541592.767319900","116","168.119.77.25","192.168.0.43",,,"443","62517"
"1769541592.767356800","66","192.168.0.43","168.119.77.25",,,"62517","443"
"1769541592.804918800","60","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.804918800","133","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.804918800","133","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.804918800","60","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.804986200","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.890976100","66","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.916619800","618","192.168.0.43","255.255.255.255","65156","31337",,
"1769541592.916708900","618","192.168.0.43","255.255.255.255","65156","31338",,
"1769541592.916739100","618","192.168.0.43","255.255.255.255","65156","31339",,
"1769541592.981557500","740","192.168.0.43","255.255.255.255","53500","31337",,
"1769541592.981726800","740","192.168.0.43","255.255.255.255","53500","31338",,
"1769541592.981789000","740","192.168.0.43","255.255.255.255","53500","31339",,
"1769541593.096619400","645","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541593.096619400","78","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541593.096717500","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541593.106687300","78","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541593.106901200","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541593.127757900","1014","192.168.0.43","255.255.255.255","65156","31337",,
"1769541593.127848900","1014","192.168.0.43","255.255.255.255","65156","31338",,
"1769541593.127886500","1014","192.168.0.43","255.255.255.255","65156","31339",,
"1769541593.155771600","116","168.119.77.25","192.168.0.43",,,"443","62517"
"1769541593.155771600","116","168.119.77.25","192.168.0.43",,,"443","53070"
"1769541593.193140200","60","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541593.196172100","54","192.168.0.43","168.119.77.25",,,"53070","443"
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196877200","231","192.168.0.43","255.255.255.255","53500","31337",,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","1514","192.168.0.43","255.255.255.255",,,,
"1769541593.196989500","231","192.168.0.43","255.255.255.255","53500","31338",,
