frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769498291.288557400","72","192.168.0.113","172.217.162.131","62996","443",,
"1769498291.297410100","125","57.144.162.192","192.168.0.113",,,"443","55617"
"1769498291.313901500","116","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498291.325054600","68","172.217.162.131","192.168.0.113","443","62996",,
"1769498291.337371700","54","192.168.0.113","57.144.162.192",,,"55617","443"
"1769498291.353454600","1216","192.168.0.113","255.255.255.255","53500","31337",,
"1769498291.353454700","555","192.168.0.113","255.255.255.255","65156","31337",,
"1769498291.353534500","555","192.168.0.113","255.255.255.255","65156","31338",,
"1769498291.353581800","1216","192.168.0.113","255.255.255.255","53500","31338",,
"1769498291.353623800","555","192.168.0.113","255.255.255.255","65156","31339",,
"1769498291.353659800","1216","192.168.0.113","255.255.255.255","53500","31339",,
"1769498291.361170500","54","192.168.0.113","168.119.77.90",,,"49311","443"
"1769498291.403384700","116","168.119.77.90","192.168.0.113",,,"443","63305"
"1769498291.403384700","69","172.217.162.131","192.168.0.113","443","62996",,
"1769498291.453707100","54","192.168.0.113","168.119.77.90",,,"63305","443"
"1769498291.563716000","1440","192.168.0.113","255.255.255.255","65156","31337",,
"1769498291.563716000","610","192.168.0.113","255.255.255.255","53500","31337",,
"1769498291.563794300","610","192.168.0.113","255.255.255.255","53500","31338",,
"1769498291.563848900","1440","192.168.0.113","255.255.255.255","65156","31338",,
"1769498291.563860500","610","192.168.0.113","255.255.255.255","53500","31339",,
"1769498291.563924600","1440","192.168.0.113","255.255.255.255","65156","31339",,
"1769498291.771660500","592","192.168.0.113","255.255.255.255","53500","31337",,
"1769498291.771877900","592","192.168.0.113","255.255.255.255","53500","31338",,
"1769498291.772041800","592","192.168.0.113","255.255.255.255","53500","31339",,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773588300","367","192.168.0.113","255.255.255.255","65156","31337",,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.773838600","367","192.168.0.113","255.255.255.255","65156","31338",,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","1514","192.168.0.113","255.255.255.255",,,,
"1769498291.774085600","367","192.168.0.113","255.255.255.255","65156","31339",,
"1769498291.796008200","66","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498291.796381200","66","192.168.0.113","1.1.1.1",,,"63993","53"
"1769498291.851450400","1127","192.168.0.113","255.255.255.255","63931","31340",,
"1769498291.851557700","1127","192.168.0.113","255.255.255.255","63931","31341",,
"1769498291.851608900","1127","192.168.0.113","255.255.255.255","63931","31342",,
"1769498291.927083600","70","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498291.927253000","54","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498291.927514600","56","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498291.927566300","87","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498291.940683000","70","1.1.1.1","192.168.0.113",,,"53","63993"
"1769498291.940864200","54","192.168.0.113","1.1.1.1",,,"63993","53"
"1769498291.941152600","56","192.168.0.113","1.1.1.1",,,"63993","53"
"1769498291.941288100","87","192.168.0.113","1.1.1.1",,,"63993","53"
