frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769403425.986859100","60","8.8.8.8","192.168.0.30",,,"53","49669"
"1769403425.986913000","54","192.168.0.30","8.8.8.8",,,"65520","53"
"1769403425.987005900","54","192.168.0.30","8.8.8.8",,,"49669","53"
"1769403426.000704300","1292","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.000704300","320","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.000704300","672","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.001264200","120","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001381800","73","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001684500","1288","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001734000","1292","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001828300","953","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001877500","375","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001921400","959","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.001965200","375","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.002007600","959","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.002072000","375","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.002112100","959","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.002153200","375","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.003226200","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.003482800","426","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.009758200","443","20.40.206.232","192.168.0.30",,,"443","53052"
"1769403426.056311700","162","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063063600","54","192.168.0.30","20.40.206.232",,,"53052","443"
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","71","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063109700","67","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.063472000","73","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.088305600","1009","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.124568400","78","192.168.0.30","192.178.50.78","61616","443",,
"1769403426.202930500","66","192.178.50.78","192.168.0.30","443","61616",,
"1769403426.662755000","98","192.168.0.30","1.1.1.1","61617","53",,
"1769403426.662962600","98","192.168.0.30","1.1.1.1","61617","53",,
"1769403426.663126900","97","192.168.0.30","1.1.1.1","61617","53",,
"1769403426.755003000","140","1.1.1.1","192.168.0.30","53","61617",,
"1769403426.771040300","164","1.1.1.1","192.168.0.30","53","61617",,
"1769403426.945635200","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403426.954843300","89","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403426.964656500","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403426.976430400","187","1.1.1.1","192.168.0.30","53","61617",,
"1769403427.642609400","84","172.65.184.197","192.168.0.30",,,"443","57973"
"1769403427.643193100","84","192.168.0.30","172.65.184.197",,,"57973","443"
"1769403427.655626600","64","172.65.184.197","192.168.0.30",,,"443","57973"
"1769403427.794310900","66","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.794574500","66","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403427.804242700","55","192.168.0.30","99.84.245.51",,,"49504","443"
"1769403427.848148600","66","8.8.8.8","192.168.0.30",,,"53","58478"
"1769403427.848148600","66","8.8.8.8","192.168.0.30",,,"53","62591"
"1769403427.848250100","54","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.848293600","54","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403427.848378100","56","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403427.848407400","86","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403427.848501700","56","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.848533100","86","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.866326800","66","99.84.245.51","192.168.0.30",,,"443","49504"
"1769403427.912028600","60","8.8.8.8","192.168.0.30",,,"53","58478"
"1769403427.912028600","60","8.8.8.8","192.168.0.30",,,"53","58478"
"1769403427.912028600","153","8.8.8.8","192.168.0.30",,,"53","58478"
"1769403427.912028600","60","8.8.8.8","192.168.0.30",,,"53","62591"
"1769403427.912028600","60","8.8.8.8","192.168.0.30",,,"53","62591"
"1769403427.912252400","54","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.925477600","104","8.8.8.8","192.168.0.30",,,"53","62591"
"1769403427.925799700","54","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403427.926103200","66","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403427.962592200","60","8.8.8.8","192.168.0.30",,,"53","58478"
"1769403427.962641400","54","192.168.0.30","8.8.8.8",,,"58478","53"
"1769403427.975907900","60","8.8.8.8","192.168.0.30",,,"53","62591"
"1769403427.975957500","54","192.168.0.30","8.8.8.8",,,"62591","53"
"1769403428.005086800","66","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.005163300","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.005691400","1857","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.014504700","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403428.020018000","89","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403428.030151800","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403428.091124100","60","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.091124100","2926","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.091124100","278","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.091221400","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.091755700","118","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.091895700","146","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092262200","963","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092306700","151","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092339100","144","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092368100","151","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092399800","157","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092433200","151","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092470600","151","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.092502800","151","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.177347200","60","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.177347200","212","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.177347200","118","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.177411600","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.177603000","85","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.293329100","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.293329100","64","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.293391900","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.296400600","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.296400600","63","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.296455900","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.316255200","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.316255200","63","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.316312700","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.318444300","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.318444300","63","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.318502800","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.321557700","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.321557700","63","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.321613600","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.371404000","2926","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.371404000","71","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.371464800","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.437038400","1490","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.437038400","63","140.82.112.5","192.168.0.30",,,"443","54540"
"1769403428.437126000","54","192.168.0.30","140.82.112.5",,,"54540","443"
"1769403428.653187600","96","192.168.0.30","1.1.1.1","58204","53",,
"1769403428.780001300","281","172.65.184.197","192.168.0.30",,,"443","53638"
"1769403428.822158600","54","192.168.0.30","172.65.184.197",,,"53638","443"
"1769403428.903296200","281","172.65.184.197","192.168.0.30",,,"443","57973"
"1769403428.944768900","54","192.168.0.30","172.65.184.197",,,"57973","443"
"1769403428.958794700","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403428.976995900","89","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403428.978521000","4368","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403428.992121900","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.006572200","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.006572200","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.006572200","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.024333000","4311","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403429.036777000","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.078154500","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.160580500","223","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.160580500","91","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.160580500","89","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.160646400","54","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403429.193972700","155","1.1.1.1","192.168.0.30","53","58204",,
"1769403429.255805900","200","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.255805900","91","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.255805900","89","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403429.255882500","54","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403430.059639800","784","192.168.0.30","52.179.73.59",,,"51507","443"
"1769403430.150652000","384","52.179.73.59","192.168.0.30",,,"443","51507"
"1769403430.150652000","81","52.179.73.59","192.168.0.30",,,"443","51507"
"1769403430.150724700","54","192.168.0.30","52.179.73.59",,,"51507","443"
"1769403430.661313300","96","192.168.0.30","1.1.1.1","58253","53",,
"1769403430.735341700","174","1.1.1.1","192.168.0.30","53","58253",,
"1769403430.907919000","687","192.168.0.30","20.40.206.232",,,"53052","443"
"1769403430.941119600","64","172.65.232.43","192.168.0.30",,,"443","54585"
"1769403430.941145400","54","192.168.0.30","172.65.232.43",,,"54585","443"
"1769403430.946272800","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403430.956745700","4310","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403430.969418600","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403430.969418600","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403430.969418600","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403431.009373000","443","20.40.206.232","192.168.0.30",,,"443","53052"
"1769403431.060806100","54","192.168.0.30","20.40.206.232",,,"53052","443"
"1769403431.121522100","262","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403431.121522100","91","69.48.218.2","192.168.0.30",,,"443","54631"
